f 爸爸
w,f,xs,d&o,h 表襟兄
w,f,xs,d&l 表姨仔
w,f,xs,d&l,w 表襟弟
w,m 岳母
w,m,f 外太岳父
w,m,m 外太岳母
w,m,xb 舅岳父
w,m,xb,w 舅岳母
w,m,xb,s&o 表大舅
w,m,xb,s&l 表舅仔
w,m,xb,d&o 表大姨
w,m,xb,d&l 表姨仔
w,m,xs 姨岳母
w,m,xs,h 姨岳父
w,m,xs,s&o 表大舅
w,m,xs,s&l 表舅仔
w,m,xs,d&o 表大姨
w,m,xs,d&l 表姨仔
w,xb,s 内侄
w,xb,s,w 内侄媳妇
w,xb,s,s 内侄孙
w,xb,s,s,w 内侄孙媳妇
w,xb,s,d 内侄孙女
w,xb,s,d,h 内侄孙女婿
w,xb,d 内侄女
w,xb,d,h 内侄女婿
w,xb,d,s 外侄孙
w,xb,d,s,w 外侄孙媳妇
w,xb,d,d 外侄孙女
w,xb,d,d,h 外侄孙女婿
w,ob 大舅子
w,ob,w 舅嫂
w,lb 小舅子
w,lb,w 舅弟媳
w,xs,s 内甥
w,xs,s,w 姨甥媳妇
w,xs,s,s 姨甥孙
w,xs,s,s,w 姨甥孙媳妇
w,xs,s,d 姨甥孙女
w,xs,s,d,h 姨甥孙女婿
w,xs,d 姨甥女
w,xs,d,h 姨甥女婿
w,xs,d,s 姨甥孙
w,xs,d,s,w 姨甥孙媳妇
w,xs,d,d 姨甥孙女
w,xs,d,d,h 姨甥孙女婿
w,os 大姨子
w,os,h 大姨夫
w,ls 小姨子
w,ls,h 小姨夫
xb 兄弟
xb,w,f 姻世伯
xb,w,f,f 姻伯祖/姻叔祖
xb,w,m 姻伯母
xb,w,xb 姻兄/姻弟
xb,w,xs 姻姐/姻妹
xb,s 侄子
xb,s,w 侄媳
xb,s,s 侄孙
xb,s,s,w 侄孙媳
xb,s,s,s 侄曾孙
xb,s,s,s,w 侄曾孙媳
xb,s,s,d 侄曾孙女
xb,s,s,d,h 侄曾孙女婿
xb,s,d 侄孙女
xb,s,d,h 侄孙女婿
xb,d 侄女
xb,d,h 侄女婿
xb,d,s 外侄孙
xb,d,s,w 外侄孙媳妇
xb,d,d 外侄孙女
xb,d,d,h 外侄孙女婿
ob 哥哥
ob,w 嫂子
ob,w,f 姻伯父
ob,w,m 姻伯母
lb 弟弟
lb,w 弟妹
lb,w,f 姻叔父
lb,w,m 姻叔母
xs 姐妹
xs,h,f 姻世伯
xs,h,f,f 姻伯祖/姻叔祖
xs,h,m 姻伯母
xs,h,xb 姻兄/姻弟
xs,h,xs 姻姐/姻妹
xs,s 外甥
xs,s,w 外甥媳妇
xs,s,s 外甥孙
xs,s,s,w 外甥孙媳妇
xs,s,s,s 外曾甥孙
xs,s,s,d 外曾甥孙女
xs,s,d 外甥孙女
xs,s,d,h 外甥孙女婿
xs,s,d,s 外曾甥孙
xs,s,d,d 外曾甥孙女
xs,d 外甥女
xs,d,h 外甥女婿
xs,d,s 外甥孙
xs,d,s,w 外甥孙媳妇
xs,d,s,s 外曾甥孙
xs,d,s,d 外曾甥孙女
xs,d,d 外甥孙女
xs,d,d,h 外甥孙女婿
xs,d,d,s 外曾甥孙
xs,d,d,d 外曾甥孙女
os 姐姐
os,h 姐夫
ls 妹妹
ls,h 妹夫
s 儿子
s,w 儿媳妇
s,w,xb 姻侄
s,w,xb,s 姻侄孙
s,w,xb,d 姻侄孙女
s,w,xs 姻侄女
s,w,xs,s 姻侄孙
s,w,xs,d 姻侄孙女
s,s 孙子
s,s,w 孙媳妇
s,s,w,xb 姻家再侄
s,s,w,xs 姻家再侄
s,s,s 曾孙
s,s,s,w 曾孙媳妇
s,s,s,s 玄孙
s,s,s,d 玄孙女
s,s,s,s,s 来孙
s,s,s,s,d 来孙女
s,s,s,s,s,s 晜孙
s,s,s,s,s,d 晜孙女
s,s,s,s,s,s,s 仍孙
s,s,s,s,s,s,d 仍孙女
s,s,s,s,s,s,s,s 云孙
s,s,s,s,s,s,s,d 云孙女
s,s,s,s,s,s,s,s,s 耳孙
s,s,s,s,s,s,s,s,d 耳孙女
s,s,d 曾孙女
s,s,d,h 曾孙女婿
s,s,d,s 外玄孙
s,s,d,d 外玄孙女
s,d 孙女
s,d,h 孙女婿
s,d,h,xb 姻家再侄
s,d,h,xs 姻家再侄
s,d,s 曾外孙
s,d,d 曾外孙女
d 女儿
d,h 女婿
d,h,xb 姻侄
d,h,xb,w 姻侄妇
d,h,xb,s 姻侄孙
d,h,xb,d 姻侄孙女
d,h,xs 姻侄女
d,h,xs,w 姻侄女婿
d,h,xs,s 姻侄孙
d,h,xs,d 姻侄孙女
d,s 外孙
d,s,w 外孙媳
d,s,s 外曾孙
d,s,d 外曾孙女
d,d 外孙女
d,d,h 外孙女婿
d,d,s 外曾外孙
d,d,d 外曾外孙女
s,w,m 亲家母
s,w,f 亲家公
s,w,f,f 太姻翁
s,w,f,m 太姻姆
s,w,f,ob 姻兄
s,w,f,lb 姻弟
s,w,f,os 姻姐
s,w,f,ls 姻妹
d,h,m 亲家母
d,h,f 亲家公
d,h,f,f 太姻翁
d,h,f,m 太姻姆
d,h,f,ob 姻兄
d,h,f,lb 姻弟
s,w,f,os 姻姐
s,w,f,ls 姻妹
h,s,w 儿媳妇
f,s,s,w 堂嫂/堂弟媳
h,f,s,s 叔公/伯翁
